id,id_provinsi,nama,tipe
20,91,Mamberamo Raya,Kabupaten
71,91,Jayapura,Kota
2,92,Manokwari,Kabupaten
3,92,Fak Fak,Kabupaten
6,92,Teluk Bintuni,Kabupaten
7,92,Teluk Wondama,Kabupaten
8,92,Kaimana,Kabupaten
11,92,Manokwari Selatan,Kabupaten
12,92,Pegunungan Arfak,Kabupaten
1,93,Merauke,Kabupaten
2,93,Boven Digoel,Kabupaten
3,93,Mappi,Kabupaten
4,93,Asmat,Kabupaten
1,94,Nabire,Kabupaten
2,94,Puncak Jaya,Kabupaten
3,94,Paniai,Kabupaten
4,94,Mimika,Kabupaten
5,94,Puncak,Kabupaten
6,94,Dogiyai,Kabupaten
7,94,Intan Jaya,Kabupaten
8,94,Deiyai,Kabupaten
1,95,Jayawijaya,Kabupaten
2,95,Kab Pegunungan Bintang,Kabupaten
3,95,Yahukimo,Kabupaten
4,95,Tolikara,Kabupaten
5,95,Mamberamo Tengah,Kabupaten
6,95,Yalimo,Kabupaten
7,95,Lanny Jaya,Kabupaten
8,95,Nduga,Kabupaten
1,96,Sorong,Kabupaten
2,96,Sorong Selatan,Kabupaten
3,96,Raja Ampat,Kabupaten
4,96,Tambrauw,Kabupaten
5,96,Maybrat,Kabupaten
71,96,Sorong,Kota
